OPD,Day,Clinic,Diagnosis and Condition
101,Wednesday,,ก้อนบริเวณอวัยวะเพศหญิงหรือใกล้เคียงอวัยวะเพศหญิง
101,Friday,,ก้อนบริเวณอวัยวะเพศหญิงหรือใกล้เคียงอวัยวะเพศหญิง
101,Monday,,ไฝ/ติ่งเนื้อ ตามลำตัวประสงค์ต้ดออก
101,Tuesday,,ไฝ/ติ่งเนื้อ ตามลำตัวประสงค์ต้ดออก
101,Wednesday,,ไฝ/ติ่งเนื้อ ตามลำตัวประสงค์ต้ดออก
101,Thursday,,ไฝ/ติ่งเนื้อ ตามลำตัวประสงค์ต้ดออก
101,,Hand,ก้อนบริเวณข้อต่อตามร่างกาย
101,,Hand,ก้อนบริเวณเมือตัดที่ข้อมือ * สัปดาห์ที่สาย HAND เป็น Ortho *
10,,Ortho Tumor,ก้อนบริเวณข้อต่อตามร่างกาย
10,,Ortho Tumor,ก้อนบริเวณเมือตัดที่ข้อมือ * สัปดาห์ที่สาย HAND เป็น Ortho *
10,,,
10,,,
EID,,EID Clinic,ไข้ ร่วมกับไอ / เจ็บคอ / น้ำมูก / เสมหะ
EID,,EID Clinic,ไข้ออกผื่น
EID,,EID Clinic,อีสุกอีใส
EID,,EID Clinic,งูสวัด ( ในระยะแพร่กระจายเชื้อ )
EID,,EID Clinic,Covid-19
EID,,EID Clinic,ไข้หวัดใหญ่
EID,,EID Clinic,RSV
EID,,EID Clinic,หิด
EID,,EID - TB Clinic,ผู้ป่วยวัณโรคปอด
EID,,EID - TB Clinic,ไอเรื้อรัง > 2 สัปดาห์
EID,,EID - TB Clinic,เสมหะปนเลือด
EID,,EID - TB Clinic,คัดกรองวัณโรคปอด
EID,,EID - TB Clinic,FLOW R/O TB
108,,ตรวจอายุรกรรมทั่วไป (108),สิทธิประกันสังคมมหาราชฯ
108,,ตรวจอายุรกรรมทั่วไป (108),เคสเดิม 108 คลินิก
108,,ตรวจอายุรกรรมทั่วไป (108),ตรวจสุขภาพเพื่อขอใบรับรองแพทย์ทั่วไป
108,,ตรวจอายุรกรรมทั่วไป (108),ต่อใบขับขี่
108,,ตรวจอายุรกรรมทั่วไป (108),สมัครเรียน / สมัครงาน (ภายในประเทศ)
108,,ตรวจอายุรกรรมทั่วไป (108),อุปสมบท
108,,ตรวจอายุรกรรมทั่วไป (108),ตรวจสุขภาพประจำปี
108,,ตรวจอายุรกรรมทั่วไป (108),ตรวจภูมิคุ้มกันวัคซีน
108,,ตรวจอายุรกรรมทั่วไป (108),คลินิกวัคซีนทางเลือกชนิดต่างๆ
