OPD,Day,Clinic,Time,Age Group,Tel,หมายเหตุ,,,,
110,Wednesday,Onco,,≥15,"34605 , 35726",,,,,
110,Thursday,Onco,,≥15,"34605 , 35726",,,,,
110,Friday,Cardio,,≥15,"34605 , 35726",,,,,
Fammed,Monday,อายุรกรรมทั่วไป,,≥15,36363,,,,,
Fammed,Monday,ตรวจร่างกายไปต่างประเทศ,,≥15,36364,,,,,
Fammed,Tuesday,อายุรกรรมทั่วไป,,≥15,36365,,,,,
Fammed,Tuesday,ตรวจร่างกายไปต่างประเทศ,,≥15,36366,,,,,
Fammed,Tuesday,Palliative,,≥15,36367,,,,,
Fammed,Wednesday,ไม่มีคลินิก,,≥15,36368,,,,,
Fammed,Thursday,อายุรกรรมทั่วไป,,≥15,36369,,,,,
Fammed,Thursday,ตรวจร่างกายไปต่างประเทศ,,≥15,36370,,,,,
Fammed,Friday,อายุรกรรมทั่วไป,,≥15,36371,,,,,
EID,Monday,EID Clinic,,,38589,"ไข้ ร่วมกับไอ / เจ็บคอ / น้ำมูก / เสมหะ / ไข้ออกผื่น / อีสุกอีใส / งูสวัด / Covid-19 / ไข้หวัดใหญ่ / RSV / หิด"
EID,Tuesday,EID Clinic,,,38589,"ไข้ ร่วมกับไอ / เจ็บคอ / น้ำมูก / เสมหะ / ไข้ออกผื่น / อีสุกอีใส / งูสวัด / Covid-19 / ไข้หวัดใหญ่ / RSV / หิด"
EID,Wednesday,EID Clinic,,,38589,"ไข้ ร่วมกับไอ / เจ็บคอ / น้ำมูก / เสมหะ / ไข้ออกผื่น / อีสุกอีใส / งูสวัด / Covid-19 / ไข้หวัดใหญ่ / RSV / หิด"
EID,Thursday,EID Clinic,,,38589,"ไข้ ร่วมกับไอ / เจ็บคอ / น้ำมูก / เสมหะ / ไข้ออกผื่น / อีสุกอีใส / งูสวัด / Covid-19 / ไข้หวัดใหญ่ / RSV / หิด"
